173
(0, 1)
(1, 0)
(0, 9)
(9,0)
(1, 2)
(2,1)
(1, 10)
(10,1)
(2, 3)
(3, 2)
(2, 11)
(11,2)
(3, 4)
(4, 3)
(3, 12)
(12,3)
(4, 5)
(5,4)
(4, 13)
(13, 4)
(5, 6)
(6,5)
(5, 14)
(14, 5)
(6, 7)
(7,6)
(6, 15)
(15, 6)
(7, 8)
(16, 7)
(7, 16)
(17, 8)
(8, 17)
(9, 10)
(10, 9)
(9, 18)
(10, 11)
(10, 19)
(19, 10)
(11, 12)
(11, 20)
(12, 13)
(12, 21)
(21, 12)
(22, 13)
(14, 15)
(14, 23)
(15, 16)
(15, 24)
(16, 17)
(16, 25)
(17, 26)
(18, 19)
(18, 27)
(19, 20)
(19, 28)
(28, 18)
(20, 21)
(20, 29)
(21, 22)
(22, 21)
(21, 30)
(22, 23)
(22, 31)
(23, 24)
(23, 32)
(24, 25)
(24, 33)
(25, 26)
(25, 34)
(28, 29)
(28, 37)
(37, 28)
(29, 30)
(29, 38)
(30, 31)
(30, 39)
(31, 32)
(31, 40)
(32, 33)
(32, 41)
(33, 34)
(33, 42)
(42, 33)
(34, 35)
(34, 43)
(35, 44)
(36, 37)
(37, 38)
(37, 46)
(38, 39)
(38, 47)
(39, 40)
(39, 48)
(40, 41)
(40, 49)
(41, 42)
(41, 50)
(50, 41)
(42, 43)
(42, 51)
(43, 44)
(43, 52)
(44, 53)
(45, 46)
(45, 54)
(46, 47)
(46, 55)
(47, 48)
(47, 56)
(48, 49)
(49, 50)
(49, 58)
(50, 51)
(50, 59)
(51, 52)
(51, 60)
(52, 53)
(52, 61)
(53, 62)
(54, 55)
(54, 63)
(55, 56)
(55, 64)
(56, 57)
(56, 65)
(57, 58)
(58, 59)
(58, 67)
(59, 60)
(59, 68)
(60, 61)
(60, 69)
(61, 62)
(62, 61)
(61, 70)
(62, 71)
(63, 64)
(72, 63)
(64, 65)
(64, 73)
(73, 64)
(65, 66)
(65, 74)
(66, 67)
(66, 75)
(67, 68)
(68, 67)
(67, 76)
(68, 69)
(68, 77)
(69, 70)
(69, 78)
(70, 79)
(79, 70)
(71, 80)
(72, 73)
(73, 74)
(74, 73)
(74, 75)
(75, 74)
(75, 76)
(76, 77)
(77, 76)
(77, 78)
(78, 79)
(79, 78)
(79, 80)
(80, 79)
(21,31)
(31,21)
(31,41)
(41,31)
